Voltage	Current	NEPeph	NEPs	NEPa	NEP	NEPph	Sv	NEP^2-NEPph^2
3.80063e-05	3.13445e-11	2.57962e-17	4.6994e-16	2.80627e-15	2.84546e-15	0	2.65645e+06	2.84546e-15
7.60127e-05	6.27787e-11	2.57962e-17	3.32478e-16	1.4037e-15	1.44277e-15	0	5.30106e+06	1.44277e-15
0.000114019	9.40722e-11	2.57754e-17	2.39899e-16	8.27844e-16	8.62289e-16	0	8.98182e+06	8.62289e-16
0.000152025	1.25656e-10	2.57754e-17	2.32164e-16	6.93743e-16	7.32014e-16	0	1.06842e+07	7.32014e-16
0.000190032	1.57034e-10	2.57546e-17	2.08056e-16	5.56719e-16	5.94883e-16	0	1.32803e+07	5.94883e-16
0.000228038	1.88483e-10	2.57339e-17	1.89677e-16	4.63855e-16	5.01798e-16	0	1.58849e+07	5.01798e-16
0.000266045	2.2005e-10	2.57132e-17	1.75111e-16	3.96921e-16	4.34593e-16	0	1.84849e+07	4.34593e-16
0.000304051	2.51155e-10	2.56719e-17	1.62716e-16	3.45844e-16	3.83072e-16	0	2.1139e+07	3.83072e-16
0.000342057	2.83016e-10	2.56513e-17	1.52901e-16	3.0674e-16	3.43695e-16	0	2.3694e+07	3.43695e-16
0.000380064	3.1435e-10	2.56103e-17	1.44096e-16	2.74902e-16	3.11434e-16	0	2.63014e+07	3.11434e-16
0.00041807	3.45828e-10	2.55694e-17	1.36488e-16	2.48864e-16	2.84985e-16	0	2.88812e+07	2.84985e-16
0.000456076	3.77496e-10	2.55286e-17	1.29826e-16	2.27179e-16	2.62901e-16	0	3.14279e+07	2.62901e-16
0.000494083	4.09401e-10	2.5488e-17	1.2393e-16	2.08848e-16	2.44183e-16	0	3.39361e+07	2.44183e-16
0.000532089	4.4049e-10	2.54274e-17	1.18292e-16	1.92793e-16	2.27615e-16	0	3.65205e+07	2.27615e-16
0.000570095	4.71751e-10	2.53672e-17	1.13214e-16	1.78905e-16	2.13232e-16	0	3.90716e+07	2.13232e-16
0.000608102	5.04483e-10	2.53272e-17	1.08957e-16	1.67103e-16	2.01088e-16	0	4.14488e+07	2.01088e-16
