Voltage	Current	NEPeph	NEPs	NEPa	NEP	NEPph	Sv	NEP^2-NEPph^2
3.80085e-05	4.19805e-11	2.87161e-17	6.55967e-16	3.52948e-15	3.63396e-15	5.63319e-16	1.79303e+06	3.59004e-15
7.6017e-05	8.40137e-11	2.87161e-17	4.63756e-16	1.76495e-15	1.91004e-15	5.63319e-16	3.58233e+06	1.82508e-15
0.000114025	1.25879e-10	2.86902e-17	3.77636e-16	1.17457e-15	1.35661e-15	5.63319e-16	5.38035e+06	1.23412e-15
0.000152034	1.67722e-10	2.86643e-17	3.26124e-16	8.79469e-16	1.09452e-15	5.63319e-16	7.17789e+06	9.38426e-16
0.000190043	2.10049e-10	2.86643e-17	2.91549e-16	7.0387e-16	9.47937e-16	5.63319e-16	8.94405e+06	7.62401e-16
0.000228051	2.52095e-10	2.86385e-17	2.65342e-16	5.85702e-16	8.55337e-16	5.63319e-16	1.07241e+07	6.43641e-16
0.00026606	2.94277e-10	2.86127e-17	7.84564e-17	1.32647e-16	5.8472e-16	5.63319e-16	4.72174e+07	1.56746e-16
0.000304068	3.35918e-10	2.85612e-17	1.34857e-16	2.56336e-16	6.34065e-16	5.63319e-16	2.33248e+07	2.9105e-16
0.000342042	2.09519e-10	2.85356e-17	2.87489e-16	4.81227e-16	7.95218e-16	5.63319e-16	4.6589e+08	5.61288e-16
0.000380069	3.42195e-10	2.84844e-17	1.68765e-16	5.41987e-16	8.00232e-16	5.63319e-16	9.08947e+06	5.68368e-16
0.000418085	4.21912e-10	2.84588e-17	3.97828e-17	1.58486e-16	5.8723e-16	5.63319e-16	3.32374e+07	1.65862e-16
0.000456098	4.84811e-10	2.84079e-17	1.77568e-16	4.04355e-16	7.16358e-16	5.63319e-16	1.38132e+07	4.42539e-16
0.000494109	5.37829e-10	2.83571e-17	9.45507e-15	1.72742e-14	1.97007e-14	5.63319e-16	335954	1.96926e-14
0.000532118	5.85146e-10	2.82813e-17	3.23267e-16	5.20625e-16	8.32875e-16	5.63319e-16	1.14055e+07	6.13475e-16
0.000570128	6.30804e-10	2.82309e-17	2.1597e-16	3.23725e-16	6.85249e-16	5.63319e-16	1.84726e+07	3.90177e-16
0.000608136	6.74329e-10	2.81557e-17	1.77105e-16	2.52437e-16	6.42815e-16	5.63319e-16	2.37232e+07	3.0965e-16
0.000646145	7.17492e-10	2.80808e-17	1.58837e-16	2.18336e-16	6.25313e-16	5.63319e-16	2.7352e+07	2.71456e-16
0.000684154	7.62344e-10	2.80311e-17	1.48887e-16	1.98876e-16	6.16306e-16	5.63319e-16	2.98576e+07	2.50009e-16
0.000722163	8.04251e-10	2.79322e-17	1.40869e-16	1.83631e-16	6.0965e-16	5.63319e-16	3.2182e+07	2.33119e-16
0.000760172	8.48183e-10	2.78585e-17	1.35228e-16	1.72528e-16	6.05109e-16	5.63319e-16	3.40393e+07	2.20972e-16
0.000798181	8.92608e-10	2.77852e-17	1.30488e-16	1.63276e-16	6.01487e-16	5.63319e-16	3.5731e+07	2.10851e-16
0.000836189	9.35586e-10	2.76879e-17	1.25969e-16	1.54883e-16	5.98291e-16	5.63319e-16	3.74382e+07	2.01553e-16
0.000874198	9.79001e-10	2.75914e-17	1.21883e-16	1.47465e-16	5.9556e-16	5.63319e-16	3.90727e+07	1.93295e-16
0.000912207	1.02292e-09	2.74954e-17	1.18131e-16	1.40816e-16	5.93185e-16	5.63319e-16	4.06506e+07	1.8585e-16
0.000950216	1.06739e-09	2.74002e-17	1.14654e-16	1.34807e-16	5.91099e-16	5.63319e-16	4.21787e+07	1.79079e-16
0.000988225	1.11248e-09	2.73056e-17	1.11416e-16	1.29348e-16	5.89252e-16	5.63319e-16	4.36596e+07	1.72887e-16
0.00102623	1.15575e-09	2.71882e-17	1.08113e-16	1.2408e-16	5.87496e-16	5.63319e-16	4.52287e+07	1.66804e-16
0.00106424	1.20216e-09	2.70951e-17	1.05288e-16	1.19537e-16	5.86035e-16	5.63319e-16	4.66193e+07	1.61583e-16
0.00110225	1.24667e-09	2.69796e-17	1.02376e-16	1.15104e-16	5.84625e-16	5.63319e-16	4.81041e+07	1.5639e-16
0.00114026	1.29185e-09	2.68651e-17	9.9639e-17	1.11028e-16	5.83357e-16	5.63319e-16	4.95474e+07	1.51581e-16
0.00117827	1.33774e-09	2.67516e-17	9.70635e-17	1.07274e-16	5.82214e-16	5.63319e-16	5.09474e+07	1.47122e-16
0.00121628	1.38441e-09	2.66392e-17	9.46385e-17	1.03814e-16	5.81181e-16	5.63319e-16	5.23028e+07	1.4298e-16
0.00125429	1.42885e-09	2.65055e-17	9.21155e-17	1.00379e-16	5.80165e-16	5.63319e-16	5.37699e+07	1.38794e-16
0.0012923	1.47716e-09	2.63953e-17	8.99667e-17	9.74337e-17	5.79321e-16	5.63319e-16	5.50356e+07	1.35219e-16
0.00133031	1.52316e-09	2.62643e-17	8.77132e-17	9.44823e-17	5.7848e-16	5.63319e-16	5.64174e+07	1.31569e-16
0.00136832	1.56998e-09	2.61347e-17	8.55844e-17	9.17462e-17	5.77714e-16	5.63319e-16	5.77564e+07	1.2816e-16
0.00140633	1.61769e-09	2.60066e-17	8.35728e-17	8.92084e-17	5.77016e-16	5.63319e-16	5.90508e+07	1.24976e-16
0.00144434	1.66634e-09	2.58799e-17	8.16713e-17	8.68538e-17	5.76378e-16	5.63319e-16	6.02995e+07	1.21998e-16
0.00148235	1.71235e-09	2.57339e-17	7.96668e-17	8.44586e-17	5.75735e-16	5.63319e-16	6.16801e+07	1.18921e-16
0.00152036	1.76297e-09	2.56103e-17	7.7971e-17	8.2435e-17	5.75204e-16	5.63319e-16	6.28364e+07	1.16322e-16
0.00155837	1.81088e-09	2.54678e-17	7.61695e-17	8.03552e-17	5.74661e-16	5.63319e-16	6.4129e+07	1.13611e-16
