Voltage	Current	NEPeph	NEPs	NEPa	NEP	NEPph	Sv	NEP^2-NEPph^2
4.00132e-06	4.5299e-11	7.75246e-15	1.63152e-11	4.40745e-10	4.41047e-10	0	10.3143	4.41047e-10
8.00266e-06	9.10375e-11	7.75246e-15	3.32277e-13	6.35908e-12	6.36776e-12	0	714.852	6.36776e-12
1.2004e-05	1.36729e-10	7.75246e-15	1.92387e-12	3.00247e-11	3.00863e-11	0	151.403	3.00863e-11
1.60053e-05	1.82411e-10	7.75246e-15	4.48133e-12	6.05424e-11	6.0708e-11	0	75.0851	6.0708e-11
2.00067e-05	2.2809e-10	7.75246e-15	5.49366e-12	6.63701e-11	6.65971e-11	0	68.4921	6.65971e-11
2.4008e-05	2.73769e-10	7.75246e-15	5.55227e-12	6.1227e-11	6.14783e-11	0	74.2455	6.14783e-11
2.80093e-05	3.19449e-10	7.75246e-15	5.35338e-12	5.46516e-11	5.49132e-11	0	83.1783	5.49132e-11
3.20107e-05	3.65131e-10	7.75246e-15	5.10617e-12	4.87599e-11	4.90265e-11	0	93.2288	4.90265e-11
3.6012e-05	4.10814e-10	7.75246e-15	4.86514e-12	4.38012e-11	4.40705e-11	0	103.783	4.40705e-11
4.00133e-05	4.565e-10	7.75246e-15	4.64478e-12	3.96718e-11	3.99428e-11	0	114.586	3.99428e-11
4.40147e-05	5.02188e-10	7.75246e-15	4.44654e-12	3.62121e-11	3.64841e-11	0	125.533	3.64841e-11
4.8016e-05	5.47879e-10	7.75246e-15	4.26879e-12	3.32858e-11	3.35584e-11	0	136.569	3.35584e-11
5.20173e-05	5.93575e-10	7.75246e-15	4.10897e-12	3.07841e-11	3.10571e-11	0	147.668	3.10571e-11
5.60187e-05	6.39273e-10	7.75246e-15	3.96521e-12	2.86279e-11	2.89012e-11	0	158.79	2.89012e-11
6.002e-05	6.84976e-10	7.75246e-15	3.83468e-12	2.67484e-11	2.70219e-11	0	169.947	2.70219e-11
6.40214e-05	7.30683e-10	7.75246e-15	3.71591e-12	2.50987e-11	2.53723e-11	0	181.117	2.53723e-11
6.80227e-05	7.76395e-10	7.75246e-15	3.60727e-12	2.36392e-11	2.39129e-11	0	192.299	2.39129e-11
7.2024e-05	8.22112e-10	7.75246e-15	3.50742e-12	2.23391e-11	2.26128e-11	0	203.49	2.26128e-11
7.60254e-05	8.67834e-10	7.75246e-15	3.41524e-12	2.11736e-11	2.14473e-11	0	214.692	2.14473e-11
8.00267e-05	9.13561e-10	7.75246e-15	3.32982e-12	2.0123e-11	2.03966e-11	0	225.9	2.03966e-11
8.4028e-05	9.59293e-10	7.75246e-15	3.25048e-12	1.91721e-11	1.94457e-11	0	237.104	1.94457e-11
8.80294e-05	1.00503e-09	7.75246e-15	3.17644e-12	1.83066e-11	1.85802e-11	0	248.313	1.85802e-11
9.20307e-05	1.05078e-09	7.75246e-15	3.10733e-12	1.75167e-11	1.77902e-11	0	259.51	1.77902e-11
9.6032e-05	1.09653e-09	7.75246e-15	3.04245e-12	1.67919e-11	1.70653e-11	0	270.712	1.70653e-11
0.000100033	1.14229e-09	7.75246e-15	2.98146e-12	1.61249e-11	1.63982e-11	0	281.909	1.63982e-11
0.000104035	1.18806e-09	7.75246e-15	2.92392e-12	1.55087e-11	1.57819e-11	0	293.11	1.57819e-11
0.000108036	1.23383e-09	7.75246e-15	2.86959e-12	1.4938e-11	1.52112e-11	0	304.307	1.52112e-11
0.000112037	1.27961e-09	7.75246e-15	2.81818e-12	1.44081e-11	1.46811e-11	0	315.498	1.46811e-11
0.000116039	1.3254e-09	7.75246e-15	2.76943e-12	1.39148e-11	1.41877e-11	0	326.684	1.41877e-11
0.00012004	1.3712e-09	7.75246e-15	2.72308e-12	1.3454e-11	1.37268e-11	0	337.871	1.37268e-11
0.000124041	1.41701e-09	7.75246e-15	2.67898e-12	1.3023e-11	1.32957e-11	0	349.053	1.32957e-11
0.000128043	1.46283e-09	7.75246e-15	2.63701e-12	1.26192e-11	1.28918e-11	0	360.222	1.28918e-11
0.000132044	1.50866e-09	7.75246e-15	2.59691e-12	1.22396e-11	1.25121e-11	0	371.392	1.25121e-11
0.000136045	1.55449e-09	7.75246e-15	2.55858e-12	1.18824e-11	1.21548e-11	0	382.555	1.21548e-11
0.000140047	1.60034e-09	7.75246e-15	2.52191e-12	1.15457e-11	1.18179e-11	0	393.711	1.18179e-11
0.000144048	1.6462e-09	7.75246e-15	2.48677e-12	1.12277e-11	1.14998e-11	0	404.861	1.14998e-11
0.000148049	1.69206e-09	7.75246e-15	2.45307e-12	1.0927e-11	1.1199e-11	0	416.003	1.1199e-11
0.000152051	1.73794e-09	7.75246e-15	2.4207e-12	1.06421e-11	1.0914e-11	0	427.138	1.0914e-11
0.000156052	1.78383e-09	7.75246e-15	2.38959e-12	1.03719e-11	1.06436e-11	0	438.265	1.06436e-11
0.000160053	1.82974e-09	7.75246e-15	2.35965e-12	1.01152e-11	1.03868e-11	0	449.385	1.03868e-11
0.000164055	1.87565e-09	7.75246e-15	2.33077e-12	9.87095e-12	1.01424e-11	0	460.504	1.01424e-11
0.000168056	1.92158e-09	7.75246e-15	2.30297e-12	9.63854e-12	9.90985e-12	0	471.608	9.90985e-12
0.000172057	1.96751e-09	7.75246e-15	2.27611e-12	9.41684e-12	9.68802e-12	0	482.709	9.68802e-12
0.000176059	2.01347e-09	7.75246e-15	2.2502e-12	9.20538e-12	9.47642e-12	0	493.796	9.47642e-12
0.00018006	2.05943e-09	7.75246e-15	2.22513e-12	9.00325e-12	9.27414e-12	0	504.882	9.27414e-12
0.000184062	2.10541e-09	7.75246e-15	2.20089e-12	8.80997e-12	9.08073e-12	0	515.956	9.08073e-12
0.000188063	2.1514e-09	7.75246e-15	2.17745e-12	8.62508e-12	8.89569e-12	0	527.015	8.89569e-12
0.000192064	2.1974e-09	7.75246e-15	2.15475e-12	8.4479e-12	8.71838e-12	0	538.067	8.71838e-12
0.000196066	2.24342e-09	7.75246e-15	2.13272e-12	8.27792e-12	8.54825e-12	0	549.114	8.54825e-12
0.000200067	2.28946e-09	7.75246e-15	2.11136e-12	8.11478e-12	8.38496e-12	0	560.152	8.38496e-12
0.000204068	2.33551e-09	7.75246e-15	2.09066e-12	7.95817e-12	8.22821e-12	0	571.174	8.22821e-12
0.00020807	2.38157e-09	7.75246e-15	2.0705e-12	7.80745e-12	8.07733e-12	0	582.198	8.07733e-12
0.000212071	2.42765e-09	7.75246e-15	2.05098e-12	7.66266e-12	7.9324e-12	0	593.197	7.9324e-12
0.000216072	2.47375e-09	7.75246e-15	2.03199e-12	7.52325e-12	7.79284e-12	0	604.188	7.79284e-12
0.000220074	2.51986e-09	7.75246e-15	2.01348e-12	7.38879e-12	7.65823e-12	0	615.181	7.65823e-12
0.000224075	2.56599e-09	7.75246e-15	1.99552e-12	7.25934e-12	7.52862e-12	0	626.149	7.52862e-12
0.000228076	2.61213e-09	7.75246e-15	1.97801e-12	7.13439e-12	7.40352e-12	0	637.113	7.40352e-12
0.000232078	2.65829e-09	7.75246e-15	1.96096e-12	7.01381e-12	7.28278e-12	0	648.065	7.28278e-12
0.000236079	2.70447e-09	7.75246e-15	1.94434e-12	6.89733e-12	7.16615e-12	0	659.006	7.16615e-12
0.00024008	2.75067e-09	7.75246e-15	1.92815e-12	6.78476e-12	7.05343e-12	0	669.938	7.05343e-12
0.000244082	2.79688e-09	7.75246e-15	1.91237e-12	6.67603e-12	6.94453e-12	0	680.847	6.94453e-12
0.000248083	2.84311e-09	7.75246e-15	1.89694e-12	6.5707e-12	6.83904e-12	0	691.759	6.83904e-12
0.000252084	2.88936e-09	7.75246e-15	1.88192e-12	6.46886e-12	6.73705e-12	0	702.647	6.73705e-12
0.000256086	2.93563e-09	7.75246e-15	1.86723e-12	6.37019e-12	6.63822e-12	0	713.527	6.63822e-12
0.000260087	2.98192e-09	7.75246e-15	1.85289e-12	6.2746e-12	6.54247e-12	0	724.395	6.54247e-12
0.000264088	3.02823e-09	7.75246e-15	1.83882e-12	6.18173e-12	6.44943e-12	0	735.275	6.44943e-12
0.00026809	3.07456e-09	7.75246e-15	1.82502e-12	6.09153e-12	6.35905e-12	0	746.159	6.35905e-12
0.000272091	3.1209e-09	7.75246e-15	1.81152e-12	6.00403e-12	6.27137e-12	0	757.032	6.27137e-12
0.000276093	3.16727e-09	7.75246e-15	1.79834e-12	5.91914e-12	6.1863e-12	0	767.885	6.1863e-12
0.000280094	3.21366e-09	7.75246e-15	1.78542e-12	5.83662e-12	6.1036e-12	0	778.739	6.1036e-12
0.000284095	3.26007e-09	7.75246e-15	1.7728e-12	5.75658e-12	6.02338e-12	0	789.564	6.02338e-12
0.000288097	3.3065e-09	7.75246e-15	1.76045e-12	5.6788e-12	5.94542e-12	0	800.375	5.94542e-12
0.000292098	3.35295e-09	7.75246e-15	1.74835e-12	5.60312e-12	5.86956e-12	0	811.182	5.86956e-12
0.000296099	3.39942e-09	7.75246e-15	1.73649e-12	5.52955e-12	5.7958e-12	0	821.972	5.7958e-12
0.000300101	3.44592e-09	7.75246e-15	1.72489e-12	5.45802e-12	5.72409e-12	0	832.74	5.72409e-12
0.000304102	3.49244e-09	7.75246e-15	1.71352e-12	5.3884e-12	5.6543e-12	0	843.496	5.6543e-12
0.000308103	3.53898e-09	7.75246e-15	1.70237e-12	5.32064e-12	5.58635e-12	0	854.235	5.58635e-12
0.000312105	3.58554e-09	7.75246e-15	1.69144e-12	5.25465e-12	5.52018e-12	0	864.959	5.52018e-12
0.000316106	3.63213e-09	7.75246e-15	1.68072e-12	5.19031e-12	5.45566e-12	0	875.676	5.45566e-12
0.000320107	3.67874e-09	7.75246e-15	1.6702e-12	5.12766e-12	5.39282e-12	0	886.373	5.39282e-12
0.000324109	3.72537e-09	7.75246e-15	1.65989e-12	5.06659e-12	5.33157e-12	0	897.051	5.33157e-12
0.00032811	3.77203e-09	7.75246e-15	1.64977e-12	5.00706e-12	5.27185e-12	0	907.714	5.27185e-12
0.000332112	3.81871e-09	7.75246e-15	1.63983e-12	4.94898e-12	5.21359e-12	0	918.361	5.21359e-12
0.000336113	3.86542e-09	7.75246e-15	1.63007e-12	4.89232e-12	5.15674e-12	0	928.993	5.15674e-12
0.000340114	3.91215e-09	7.75246e-15	1.62049e-12	4.83701e-12	5.10125e-12	0	939.611	5.10125e-12
0.000344116	3.95891e-09	7.75246e-15	1.61108e-12	4.78304e-12	5.04709e-12	0	950.21	5.04709e-12
0.000348117	4.00569e-09	7.75246e-15	1.60183e-12	4.73034e-12	4.9942e-12	0	960.792	4.9942e-12
0.000352118	4.0525e-09	7.75246e-15	1.59274e-12	4.67886e-12	4.94253e-12	0	971.358	4.94253e-12
0.00035612	4.09934e-09	7.75246e-15	1.58382e-12	4.6286e-12	4.89208e-12	0	981.902	4.89208e-12
