Voltage	Current	Iqp	Iand	V/Rleak	Te	Ts	DeltaT	Peph	Pand	Pleak	Pabs	Pcool
3.80085e-05	4.19805e-11	4.19805e-11	0	8.65001e-05	0.320192	0.3	0.984043	-0.0303289	0	8.65001e-08	9.38457e-09	0.0263764
7.6017e-05	8.40137e-11	8.40137e-11	0	0.000173	0.320192	0.3	0.984043	-0.0303289	0	3.46001e-07	3.75854e-08	0.0264804
0.000114025	1.25879e-10	1.25879e-10	0	0.0002595	0.32003	0.3	0.984043	-0.0300453	0	7.78501e-07	8.43778e-08	0.0264167
0.000152034	1.67722e-10	1.67722e-10	0	0.000346001	0.319869	0.3	0.984043	-0.0297625	0	1.384e-06	1.49795e-07	0.0264222
0.000190043	2.10049e-10	2.10049e-10	0	0.000432501	0.319869	0.3	0.984043	-0.0297625	0	2.1625e-06	2.34943e-07	0.0267338
0.000228051	2.52095e-10	2.52095e-10	0	0.000519001	0.319707	0.3	0.984043	-0.0294804	0	3.11401e-06	3.38415e-07	0.0268773
0.00026606	2.94277e-10	2.94277e-10	0	0.000605501	0.319545	0.3	0.984043	-0.029199	0	4.23851e-06	4.61139e-07	0.0270896
0.000304068	3.35918e-10	3.35918e-10	0	0.000692001	0.319222	0.3	0.984043	-0.0286384	0	5.53601e-06	6.00877e-07	0.027133
0.000342042	2.09519e-10	2.09519e-10	0	0.000778501	0.319061	0.3	0.984043	-0.0283592	0	7.00651e-06	2.33758e-07	0.0274823
0.000380069	3.42195e-10	3.42195e-10	0	0.000865001	0.318737	0.3	0.984043	-0.0278028	0	8.65001e-06	6.23543e-07	0.0276621
0.000418085	4.21912e-10	4.21912e-10	0	0.000951502	0.318576	0.3	0.984043	-0.0275256	0	1.04665e-05	9.479e-07	0.0281479
0.000456098	4.84811e-10	4.84811e-10	0	0.001038	0.318253	0.3	0.984043	-0.0269734	0	1.2456e-05	1.2516e-06	0.0284631
0.000494109	5.37829e-10	5.37829e-10	0	0.0011245	0.317929	0.3	0.984043	-0.0264241	0	1.46185e-05	1.54031e-06	0.0288457
0.000532118	5.85146e-10	5.85146e-10	0	0.001211	0.317445	0.3	0.984043	-0.0256052	0	1.6954e-05	1.82326e-06	0.0290559
0.000570128	6.30804e-10	6.30804e-10	0	0.0012975	0.317122	0.3	0.984043	-0.0250628	0	1.94625e-05	2.11889e-06	0.029572
0.000608136	6.74329e-10	6.74329e-10	0	0.001384	0.316637	0.3	0.984043	-0.0242543	0	2.2144e-05	2.42138e-06	0.0299146
0.000646145	7.17492e-10	7.17492e-10	0	0.0014705	0.316152	0.3	0.984043	-0.0234519	0	2.49985e-05	2.74128e-06	0.0303228
0.000684154	7.62344e-10	7.62344e-10	0	0.001557	0.315829	0.3	0.984043	-0.0229205	0	2.8026e-05	3.09472e-06	0.031037
0.000722163	8.04251e-10	8.04251e-10	0	0.0016435	0.315182	0.3	0.984043	-0.0218656	0	3.12266e-05	3.44431e-06	0.0313341
0.000760172	8.48183e-10	8.48183e-10	0	0.00173	0.314698	0.3	0.984043	-0.0210816	0	3.46001e-05	3.83088e-06	0.0319367
0.000798181	8.92608e-10	8.92608e-10	0	0.0018165	0.314213	0.3	0.984043	-0.0203035	0	3.81466e-05	4.24269e-06	0.0326035
0.000836189	9.35586e-10	9.35586e-10	0	0.001903	0.313567	0.3	0.984043	-0.0192754	0	4.18661e-05	4.66108e-06	0.033091
0.000874198	9.79001e-10	9.79001e-10	0	0.0019895	0.31292	0.3	0.984043	-0.0182579	0	4.57586e-05	5.10371e-06	0.033641
0.000912207	1.02292e-09	1.02292e-09	0	0.002076	0.312274	0.3	0.984043	-0.0172508	0	4.98241e-05	5.57185e-06	0.0342528
0.000950216	1.06739e-09	1.06739e-09	0	0.0021625	0.311627	0.3	0.984043	-0.0162541	0	5.40626e-05	6.06686e-06	0.0349261
0.000988225	1.11248e-09	1.11248e-09	0	0.002249	0.310981	0.3	0.984043	-0.0152676	0	5.84741e-05	6.59023e-06	0.0356606
0.00102623	1.15575e-09	1.15575e-09	0	0.0023355	0.310173	0.3	0.984043	-0.0140489	0	6.30586e-05	7.11297e-06	0.0362095
0.00106424	1.20216e-09	1.20216e-09	0	0.002422	0.309527	0.3	0.984043	-0.0130853	0	6.78161e-05	7.69557e-06	0.0370641
0.00110225	1.24667e-09	1.24667e-09	0	0.0025085	0.308719	0.3	0.984043	-0.0118948	0	7.27466e-05	8.27607e-06	0.0377309
0.00114026	1.29185e-09	1.29185e-09	0	0.002595	0.307911	0.3	0.984043	-0.0107198	0	7.78501e-05	8.88674e-06	0.0384556
0.00117827	1.33774e-09	1.33774e-09	0	0.0026815	0.307103	0.3	0.984043	-0.00956016	0	8.31266e-05	9.52935e-06	0.0392377
0.00121628	1.38441e-09	1.38441e-09	0	0.002768	0.306295	0.3	0.984043	-0.00841565	0	8.85762e-05	1.02058e-05	0.0400767
0.00125429	1.42885e-09	1.42885e-09	0	0.0028545	0.305325	0.3	0.984043	-0.00706202	0	9.41987e-05	1.08717e-05	0.0407212
0.0012923	1.47716e-09	1.47716e-09	0	0.00294101	0.304517	0.3	0.984043	-0.00595029	0	9.99942e-05	1.16191e-05	0.0416717
0.00133031	1.52316e-09	1.52316e-09	0	0.00302751	0.303548	0.3	0.984043	-0.00463554	0	0.000105963	1.23541e-05	0.0424251
0.00136832	1.56998e-09	1.56998e-09	0	0.00311401	0.302578	0.3	0.984043	-0.00334162	0	0.000112104	1.31253e-05	0.0432316
0.00140633	1.61769e-09	1.61769e-09	0	0.00320051	0.301609	0.3	0.984043	-0.00206827	0	0.000118419	1.39351e-05	0.0440907
0.00144434	1.66634e-09	1.66634e-09	0	0.00328701	0.300639	0.3	0.984043	-0.000815217	0	0.000124906	1.47859e-05	0.0450019
0.00148235	1.71235e-09	1.71235e-09	0	0.00337351	0.299508	0.3	0.984043	0.000621362	0	0.000131567	1.56136e-05	0.0457083
0.00152036	1.76297e-09	1.76297e-09	0	0.00346001	0.298539	0.3	0.984043	0.00183131	0	0.0001384	1.65505e-05	0.0467212
