Voltage	Current	Iqp	Iand	V/Rleak	Te	Ts	DeltaT	Peph	Pand	Pleak	Pabs	Pcool
3.80063e-05	3.13445e-11	3.13445e-11	0	8.65001e-05	0.299993	0.3	0.984043	8.99962e-06	0	8.65001e-08	5.23169e-09	2.03403e-05
7.60127e-05	6.27787e-11	6.27787e-11	0	0.000173	0.299993	0.3	0.984043	8.99962e-06	0	3.46001e-07	2.09867e-08	0.000105823
0.000114019	9.40722e-11	9.40722e-11	0	0.0002595	0.299831	0.3	0.984043	0.000213671	0	7.78501e-07	4.7124e-08	6.25427e-05
0.000152025	1.25656e-10	1.25656e-10	0	0.000346001	0.299831	0.3	0.984043	0.000213671	0	1.384e-06	8.40791e-08	0.000261861
0.000190032	1.57034e-10	1.57034e-10	0	0.000432501	0.29967	0.3	0.984043	0.000417791	0	2.1625e-06	1.31312e-07	0.000332128
0.000228038	1.88483e-10	1.88483e-10	0	0.000519001	0.299508	0.3	0.984043	0.000621362	0	3.11401e-06	1.89175e-07	0.000459016
0.000266045	2.2005e-10	2.2005e-10	0	0.000605501	0.299347	0.3	0.984043	0.000824384	0	4.23851e-06	2.57847e-07	0.00064242
0.000304051	2.51155e-10	2.51155e-10	0	0.000692001	0.299023	0.3	0.984043	0.00122879	0	5.53601e-06	3.35894e-07	0.000695708
0.000342057	2.83016e-10	2.83016e-10	0	0.000778501	0.298862	0.3	0.984043	0.00143017	0	7.00651e-06	4.26521e-07	0.000991527
0.000380064	3.1435e-10	3.1435e-10	0	0.000865001	0.298539	0.3	0.984043	0.00183131	0	8.65001e-06	5.26194e-07	0.0011565
0.00041807	3.45828e-10	3.45828e-10	0	0.000951502	0.298215	0.3	0.984043	0.00223028	0	1.04665e-05	6.36854e-07	0.00137693
0.000456076	3.77496e-10	3.77496e-10	0	0.001038	0.297892	0.3	0.984043	0.0026271	0	1.2456e-05	7.5883e-07	0.00165261
0.000494083	4.09401e-10	4.09401e-10	0	0.0011245	0.297569	0.3	0.984043	0.00302177	0	1.46185e-05	8.92517e-07	0.00198333
0.000532089	4.4049e-10	4.4049e-10	0	0.001211	0.297084	0.3	0.984043	0.00360977	0	1.6954e-05	1.03322e-06	0.0021806
0.000570095	4.71751e-10	4.71751e-10	0	0.0012975	0.2966	0.3	0.984043	0.004193	0	1.94625e-05	1.18507e-06	0.00243175
0.000608102	5.04483e-10	5.04483e-10	0	0.001384	0.296276	0.3	0.984043	0.00457917	0	2.2144e-05	1.35523e-06	0.0029254
0.000646109	5.36302e-10	5.36302e-10	0	0.0014705	0.295792	0.3	0.984043	0.0051545	0	2.49985e-05	1.53158e-06	0.00328372
0.000684115	5.67019e-10	5.67019e-10	0	0.001557	0.295145	0.3	0.984043	0.00591431	0	2.8026e-05	1.71204e-06	0.00350508
0.000722121	5.99424e-10	5.99424e-10	0	0.0016435	0.29466	0.3	0.984043	0.00647873	0	3.12266e-05	1.91332e-06	0.00396849
0.000760128	6.30662e-10	6.30662e-10	0	0.00173	0.294014	0.3	0.984043	0.0072241	0	3.46001e-05	2.11794e-06	0.00429337
0.000798134	6.63839e-10	6.63839e-10	0	0.0018165	0.293529	0.3	0.984043	0.00777778	0	3.81466e-05	2.34663e-06	0.00486059
0.000836141	6.95782e-10	6.95782e-10	0	0.001903	0.292883	0.3	0.984043	0.00850894	0	4.18661e-05	2.5779e-06	0.00528748
0.000874147	7.2811e-10	7.2811e-10	0	0.0019895	0.292237	0.3	0.984043	0.00923208	0	4.57586e-05	2.82302e-06	0.0057646
0.000912154	7.58979e-10	7.58979e-10	0	0.002076	0.291429	0.3	0.984043	0.0101248	0	4.98241e-05	3.06746e-06	0.0060983
0.00095016	7.92134e-10	7.92134e-10	0	0.0021625	0.290782	0.3	0.984043	0.0108302	0	5.40626e-05	3.34131e-06	0.006674
0.000988167	8.23765e-10	8.23765e-10	0	0.002249	0.289974	0.3	0.984043	0.0117009	0	5.84741e-05	3.61348e-06	0.00710424
0.00102617	8.57936e-10	8.57936e-10	0	0.0023355	0.289328	0.3	0.984043	0.0123888	0	6.30586e-05	3.91949e-06	0.00777703
0.00106418	8.90517e-10	8.90517e-10	0	0.002422	0.28852	0.3	0.984043	0.0132379	0	6.78161e-05	4.22283e-06	0.00830209
0.00110219	9.23604e-10	9.23604e-10	0	0.0025085	0.287712	0.3	0.984043	0.0140753	0	7.27466e-05	4.54246e-06	0.00887361
0.00114019	9.54874e-10	9.54874e-10	0	0.002595	0.286742	0.3	0.984043	0.0150647	0	7.78501e-05	4.85525e-06	0.00929351
0.0011782	9.89036e-10	9.89036e-10	0	0.0026815	0.285935	0.3	0.984043	0.0158765	0	8.31266e-05	5.20888e-06	0.0099558
0.00121621	1.02131e-09	1.02131e-09	0	0.002768	0.284965	0.3	0.984043	0.0168356	0	8.85762e-05	5.55442e-06	0.010464
0.00125421	1.05413e-09	1.05413e-09	0	0.0028545	0.283995	0.3	0.984043	0.0177786	0	9.41987e-05	5.91706e-06	0.0110153
0.00129222	1.08752e-09	1.08752e-09	0	0.00294101	0.283026	0.3	0.984043	0.0187056	0	9.99942e-05	6.29793e-06	0.011609
0.00133023	1.12155e-09	1.12155e-09	0	0.00302751	0.282056	0.3	0.984043	0.0196169	0	0.000105963	6.69823e-06	0.0122449
0.00136823	1.15626e-09	1.15626e-09	0	0.00311401	0.281087	0.3	0.984043	0.0205127	0	0.000112104	7.11925e-06	0.0129224
0.00140624	1.18876e-09	1.18876e-09	0	0.00320051	0.279956	0.3	0.984043	0.0215384	0	0.000118419	7.525e-06	0.0134373
0.00144425	1.2249e-09	1.2249e-09	0	0.00328701	0.278986	0.3	0.984043	0.0224012	0	0.000124906	7.98949e-06	0.0141958
0.00148225	1.25875e-09	1.25875e-09	0	0.00337351	0.277855	0.3	0.984043	0.023389	0	0.000131567	8.43722e-06	0.0147888
0.00152026	1.29332e-09	1.29332e-09	0	0.00346001	0.276724	0.3	0.984043	0.024357	0	0.0001384	8.90699e-06	0.0154197
0.00155827	1.32865e-09	1.32865e-09	0	0.00354651	0.275593	0.3	0.984043	0.0253054	0	0.000145407	9.40029e-06	0.016088
0.00159628	1.36142e-09	1.36142e-09	0	0.00363301	0.2743	0.3	0.984043	0.0263657	0	0.000152586	9.86974e-06	0.0165843
0.00163428	1.39835e-09	1.39835e-09	0	0.00371951	0.273169	0.3	0.984043	0.0272732	0	0.000159939	1.04124e-05	0.0173249
0.00167229	1.43265e-09	1.43265e-09	0	0.00380601	0.271876	0.3	0.984043	0.0282875	0	0.000167464	1.09295e-05	0.0178905
0.0017103	1.46774e-09	1.46774e-09	0	0.00389251	0.270583	0.3	0.984043	0.0292781	0	0.000175163	1.14715e-05	0.0184896
0.0017483	1.50369e-09	1.50369e-09	0	0.00397901	0.269291	0.3	0.984043	0.0302452	0	0.000183034	1.20402e-05	0.0191215
0.00178631	1.54053e-09	1.54053e-09	0	0.00406551	0.267998	0.3	0.984043	0.0311894	0	0.000191079	1.26375e-05	0.0197859
0.00182432	1.57834e-09	1.57834e-09	0	0.00415201	0.266705	0.3	0.984043	0.0321112	0	0.000199296	1.32654e-05	0.0204825
0.00186233	1.61716e-09	1.61716e-09	0	0.00423851	0.265413	0.3	0.984043	0.0330108	0	0.000207687	1.39259e-05	0.0212107
0.00190033	1.65295e-09	1.65295e-09	0	0.00432501	0.263958	0.3	0.984043	0.0339971	0	0.00021625	1.45492e-05	0.0217522
0.00193834	1.69387e-09	1.69387e-09	0	0.00441151	0.262665	0.3	0.984043	0.0348512	0	0.000224987	1.52785e-05	0.0225416
0.00197635	1.7317e-09	1.7317e-09	0	0.00449801	0.261211	0.3	0.984043	0.0357874	0	0.000233896	1.59685e-05	0.0231409
0.00201436	1.77058e-09	1.77058e-09	0	0.00458451	0.259757	0.3	0.984043	0.0366978	0	0.000242979	1.66937e-05	0.0237679
0.00205237	1.81058e-09	1.81058e-09	0	0.00467101	0.258303	0.3	0.984043	0.0375831	0	0.000252234	1.74564e-05	0.0244224
0.00209037	1.85176e-09	1.85176e-09	0	0.00475751	0.256848	0.3	0.984043	0.0384438	0	0.000261663	1.82595e-05	0.0251041
0.00212838	1.88949e-09	1.88949e-09	0	0.00484401	0.255232	0.3	0.984043	0.039372	0	0.000271264	1.90112e-05	0.0255866
0.00216639	1.93311e-09	1.93311e-09	0	0.00493051	0.253778	0.3	0.984043	0.0401826	0	0.000281039	1.98991e-05	0.0263202
0.0022044	1.9781e-09	1.9781e-09	0	0.00501701	0.252324	0.3	0.984043	0.0409704	0	0.000290987	2.08361e-05	0.0270801
0.00224241	2.01954e-09	2.01954e-09	0	0.00510351	0.250708	0.3	0.984043	0.0418194	0	0.000301107	2.17182e-05	0.027636
0.00228042	2.06227e-09	2.06227e-09	0	0.00519001	0.249092	0.3	0.984043	0.0426415	0	0.000311401	2.2647e-05	0.028215
0.00231843	2.10637e-09	2.10637e-09	0	0.00527651	0.247476	0.3	0.984043	0.0434374	0	0.000321867	2.36259e-05	0.0288169
0.00235644	2.15191e-09	2.15191e-09	0	0.00536301	0.24586	0.3	0.984043	0.0442077	0	0.000332507	2.46585e-05	0.0294414
0.00239444	2.19896e-09	2.19896e-09	0	0.00544951	0.244244	0.3	0.984043	0.0449531	0	0.000343319	2.57486e-05	0.0300884
0.00243245	2.2476e-09	2.2476e-09	0	0.00553601	0.242628	0.3	0.984043	0.0456743	0	0.000354305	2.69004e-05	0.0307578
0.00247046	2.29792e-09	2.29792e-09	0	0.00562251	0.241012	0.3	0.984043	0.0463718	0	0.000365463	2.81184e-05	0.0314494
0.00250847	2.34419e-09	2.34419e-09	0	0.00570901	0.239235	0.3	0.984043	0.0471126	0	0.000376795	2.92621e-05	0.0319229
0.00254649	2.39799e-09	2.39799e-09	0	0.00579551	0.237619	0.3	0.984043	0.0477625	0	0.000388299	3.06207e-05	0.0326573
0.0025845	2.44767e-09	2.44767e-09	0	0.00588201	0.235841	0.3	0.984043	0.0484524	0	0.000399977	3.19026e-05	0.0331704
0.00262251	2.49913e-09	2.49913e-09	0	0.00596851	0.234064	0.3	0.984043	0.0491167	0	0.000411827	3.3258e-05	0.0337025
0.00266052	2.55245e-09	2.55245e-09	0	0.00605501	0.232286	0.3	0.984043	0.0497563	0	0.000423851	3.46924e-05	0.0342535
0.00269853	2.6142e-09	2.6142e-09	0	0.00614151	0.230671	0.3	0.984043	0.0503169	0	0.000436047	3.63913e-05	0.035071
0.00273654	2.6717e-09	2.6717e-09	0	0.00622801	0.228893	0.3	0.984043	0.0509113	0	0.000448417	3.80099e-05	0.0356613
0.00277455	2.73139e-09	2.73139e-09	0	0.00631451	0.227116	0.3	0.984043	0.0514831	0	0.000460959	3.97271e-05	0.0362704
0.00281256	2.78648e-09	2.78648e-09	0	0.00640101	0.225176	0.3	0.984043	0.0520818	0	0.000473675	4.13457e-05	0.0366461
0.00285058	2.85073e-09	2.85073e-09	0	0.00648751	0.223399	0.3	0.984043	0.0526085	0	0.000486563	4.32745e-05	0.0372915
0.00288859	2.91753e-09	2.91753e-09	0	0.00657401	0.221621	0.3	0.984043	0.0531146	0	0.000499625	4.53263e-05	0.0379558
0.0029266	2.98701e-09	2.98701e-09	0	0.00666051	0.219844	0.3	0.984043	0.0536008	0	0.000512859	4.7511e-05	0.0386392
0.00296462	3.05179e-09	3.05179e-09	0	0.00674701	0.217905	0.3	0.984043	0.0541093	0	0.000526267	4.9594e-05	0.0390832
0.00300263	3.12691e-09	3.12691e-09	0	0.00683351	0.216127	0.3	0.984043	0.054556	0	0.000539847	5.20656e-05	0.0398032
0.00304065	3.20518e-09	3.20518e-09	0	0.00692001	0.21435	0.3	0.984043	0.0549846	0	0.000553601	5.47046e-05	0.0405424
0.00307866	3.27869e-09	3.27869e-09	0	0.00700651	0.212411	0.3	0.984043	0.0554324	0	0.000567527	5.72427e-05	0.0410376
0.00311668	3.35533e-09	3.35533e-09	0	0.00709301	0.210472	0.3	0.984043	0.0558602	0	0.000581627	5.995e-05	0.041549
0.0031547	3.44372e-09	3.44372e-09	0	0.00717951	0.208694	0.3	0.984043	0.0562354	0	0.0005959	6.31502e-05	0.0423428
0.00319271	3.52735e-09	3.52735e-09	0	0.00726601	0.206755	0.3	0.984043	0.0566269	0	0.000610345	6.62549e-05	0.0428881
0.00323073	3.62355e-09	3.62355e-09	0	0.00735251	0.204978	0.3	0.984043	0.0569701	0	0.000624964	6.9918e-05	0.0437189
0.00326875	3.71504e-09	3.71504e-09	0	0.00743901	0.203039	0.3	0.984043	0.0573278	0	0.000639755	7.3493e-05	0.044298
0.00330677	3.81069e-09	3.81069e-09	0	0.00752551	0.201099	0.3	0.984043	0.0576688	0	0.00065472	7.73261e-05	0.0448931
0.00334479	3.92027e-09	3.92027e-09	0	0.00761201	0.199322	0.3	0.984043	0.0579673	0	0.000669857	8.18374e-05	0.045778
0.00338281	4.02526e-09	4.02526e-09	0	0.00769851	0.197383	0.3	0.984043	0.0582781	0	0.000685168	8.62795e-05	0.0464063
0.00342084	4.13523e-09	4.13523e-09	0	0.00778501	0.195444	0.3	0.984043	0.058574	0	0.000700651	9.10584e-05	0.04705
0.00345886	4.26075e-09	4.26075e-09	0	0.00787151	0.193666	0.3	0.984043	0.0588327	0	0.000716308	9.66699e-05	0.0479871
0.00349689	4.3819e-09	4.3819e-09	0	0.00795801	0.191727	0.3	0.984043	0.0591016	0	0.000732137	0.000102245	0.0486621
0.00353491	4.51981e-09	4.51981e-09	0	0.00804451	0.18995	0.3	0.984043	0.0593365	0	0.00074814	0.000108783	0.0496323
0.00357294	4.6536e-09	4.6536e-09	0	0.00813101	0.188011	0.3	0.984043	0.0595805	0	0.000764315	0.000115318	0.0503363
0.00361097	4.80554e-09	4.80554e-09	0	0.00821751	0.186233	0.3	0.984043	0.0597934	0	0.000780664	0.000122971	0.0513368
0.003649	4.96531e-09	4.96531e-09	0	0.00830401	0.184456	0.3	0.984043	0.0599963	0	0.000797185	0.000131284	0.0523515
0.00368704	5.12147e-09	5.12147e-09	0	0.00839051	0.182517	0.3	0.984043	0.0602069	0	0.00081388	0.000139672	0.0530927
0.00372507	5.29815e-09	5.29815e-09	0	0.00847701	0.180739	0.3	0.984043	0.0603903	0	0.000830747	0.000149475	0.0541305
0.00376311	5.48429e-09	5.48429e-09	0	0.00856351	0.178962	0.3	0.984043	0.0605649	0	0.000847788	0.000160163	0.0551777
0.00380115	5.69347e-09	5.69347e-09	0	0.00865001	0.177346	0.3	0.984043	0.0607163	0	0.000865001	0.000172613	0.0565222
0.00383919	5.90082e-09	5.90082e-09	0	0.00873652	0.175568	0.3	0.984043	0.060875	0	0.000882388	0.000185415	0.0575824
0.00387724	6.13332e-09	6.13332e-09	0	0.00882302	0.173952	0.3	0.984043	0.0610125	0	0.000899948	0.000200314	0.058936
0.00391529	6.37885e-09	6.37885e-09	0	0.00890952	0.172336	0.3	0.984043	0.0611438	0	0.00091768	0.000216673	0.060289
0.00395334	6.63825e-09	6.63825e-09	0	0.00899602	0.17072	0.3	0.984043	0.0612691	0	0.000935586	0.000234653	0.061637
0.0039914	6.92724e-09	6.92724e-09	0	0.00908252	0.169266	0.3	0.984043	0.0613768	0	0.000953664	0.000255529	0.0632688
0.00402946	7.2328e-09	7.2328e-09	0	0.00916902	0.167812	0.3	0.984043	0.0614801	0	0.000971916	0.000278569	0.064885
0.00406753	7.57159e-09	7.57159e-09	0	0.00925552	0.166519	0.3	0.984043	0.0615682	0	0.00099034	0.000305277	0.066773
0.0041056	7.92997e-09	7.92997e-09	0	0.00934202	0.165226	0.3	0.984043	0.0616529	0	0.00100894	0.000334859	0.0686294
0.00414369	8.34191e-09	8.34191e-09	0	0.00942852	0.164257	0.3	0.984043	0.0617143	0	0.00102771	0.000370553	0.0710342
0.00418178	8.77752e-09	8.77752e-09	0	0.00951502	0.163287	0.3	0.984043	0.061774	0	0.00104665	0.000410264	0.0733836
0.00421987	9.25529e-09	9.25529e-09	0	0.00960152	0.162479	0.3	0.984043	0.0618223	0	0.00106577	0.000456142	0.0759569
0.00425798	9.77772e-09	9.77772e-09	0	0.00968802	0.161833	0.3	0.984043	0.0618601	0	0.00108506	0.000509091	0.0787348
0.00429609	1.03473e-08	1.03473e-08	0	0.00977452	0.161348	0.3	0.984043	0.061888	0	0.00110452	0.000570125	0.0816937
0.00433422	1.09845e-08	1.09845e-08	0	0.00986102	0.161187	0.3	0.984043	0.0618972	0	0.00112416	0.00064251	0.0850992
0.00437237	1.16925e-08	1.16925e-08	0	0.00994752	0.161348	0.3	0.984043	0.061888	0	0.00114396	0.00072801	0.0889154
0.00441052	1.2474e-08	1.2474e-08	0	0.010034	0.161833	0.3	0.984043	0.0618601	0	0.00116395	0.000828576	0.0930999
0.0044487	1.335e-08	1.335e-08	0	0.0101205	0.162803	0.3	0.984043	0.0618031	0	0.0011841	0.000949029	0.0978933
0.00448689	1.43029e-08	1.43029e-08	0	0.010207	0.164095	0.3	0.984043	0.0617244	0	0.00120443	0.00108935	0.102948
0.00452511	1.53716e-08	1.53716e-08	0	0.0102935	0.166034	0.3	0.984043	0.0616003	0	0.00122493	0.00125822	0.108776
0.00456335	1.65359e-08	1.65359e-08	0	0.01038	0.168458	0.3	0.984043	0.0614347	0	0.0012456	0.00145604	0.115016
0.00460161	1.78316e-08	1.78316e-08	0	0.0104665	0.17169	0.3	0.984043	0.0611946	0	0.00126645	0.00169316	0.122164
0.00463989	1.92159e-08	1.92159e-08	0	0.010553	0.175407	0.3	0.984043	0.0608891	0	0.00128747	0.00196627	0.129575
0.0046782	2.0739e-08	2.0739e-08	0	0.0106395	0.180093	0.3	0.984043	0.0604548	0	0.00130866	0.00229032	0.138027
0.00471652	2.23547e-08	2.23547e-08	0	0.010726	0.185425	0.3	0.984043	0.0598868	0	0.00133003	0.00266109	0.1469
0.00475487	2.40541e-08	2.40541e-08	0	0.0108125	0.191404	0.3	0.984043	0.0591451	0	0.00135156	0.00308104	0.156153
0.00479323	2.58448e-08	2.58448e-08	0	0.010899	0.198191	0.3	0.984043	0.0581504	0	0.00137328	0.00355684	0.166048
0.0048316	2.7699e-08	2.7699e-08	0	0.0109855	0.205624	0.3	0.984043	0.056847	0	0.00139516	0.00408551	0.176306
0.00486999	2.95913e-08	2.95913e-08	0	0.011072	0.213542	0.3	0.984043	0.0551737	0	0.00141722	0.0046628	0.186662
0.00490838	3.15147e-08	3.15147e-08	0	0.0111585	0.221945	0.3	0.984043	0.0530241	0	0.00143945	0.00528866	0.19715
0.00494677	3.34479e-08	3.34479e-08	0	0.011245	0.230671	0.3	0.984043	0.0503169	0	0.00146185	0.00595742	0.207523
0.00498516	3.53726e-08	3.53726e-08	0	0.0113315	0.239558	0.3	0.984043	0.0469799	0	0.00148443	0.00666276	0.217526
0.00502355	3.7301e-08	3.7301e-08	0	0.011418	0.248769	0.3	0.984043	0.0428028	0	0.00150718	0.00740902	0.227508
