Voltage	Current	Iqp	Iand	V/Rleak	Te	Ts	DeltaT	Peph	Pand	Pleak	Pabs	Pcool
4.00132e-06	4.5299e-11	4.5299e-11	0	0.000238022	4.29948	4.3	0.955306	65.7701	0	4.76044e-07	2.99797e-08	-0.013856
8.00266e-06	9.10375e-11	9.10375e-11	0	0.000476044	4.29948	4.3	0.955306	65.7701	0	1.90417e-06	1.21085e-07	-0.0137143
1.2004e-05	1.36729e-10	1.36729e-10	0	0.000714065	4.29948	4.3	0.955306	65.7701	0	4.28439e-06	2.7313e-07	-0.0134783
1.60053e-05	1.82411e-10	1.82411e-10	0	0.000952087	4.29948	4.3	0.955306	65.7701	0	7.6167e-06	4.86128e-07	-0.0131479
2.00067e-05	2.2809e-10	2.2809e-10	0	0.00119011	4.29948	4.3	0.955306	65.7701	0	1.19011e-05	7.60088e-07	-0.012723
2.4008e-05	2.73769e-10	2.73769e-10	0	0.00142813	4.29948	4.3	0.955306	65.7701	0	1.71376e-05	1.09502e-06	-0.0122038
2.80093e-05	3.19449e-10	3.19449e-10	0	0.00166615	4.29948	4.3	0.955306	65.7701	0	2.33261e-05	1.49092e-06	-0.0115901
3.20107e-05	3.65131e-10	3.65131e-10	0	0.00190417	4.29948	4.3	0.955306	65.7701	0	3.04668e-05	1.94781e-06	-0.0108821
3.6012e-05	4.10814e-10	4.10814e-10	0	0.0021422	4.29948	4.3	0.955306	65.7701	0	3.85595e-05	2.4657e-06	-0.0100796
4.00133e-05	4.565e-10	4.565e-10	0	0.00238022	4.29948	4.3	0.955306	65.7701	0	4.76044e-05	3.04461e-06	-0.00918272
4.40147e-05	5.02188e-10	5.02188e-10	0	0.00261824	4.29948	4.3	0.955306	65.7701	0	5.76013e-05	3.68454e-06	-0.00819144
4.8016e-05	5.47879e-10	5.47879e-10	0	0.00285626	4.29948	4.3	0.955306	65.7701	0	6.85503e-05	4.38551e-06	-0.00710575
5.20173e-05	5.93575e-10	5.93575e-10	0	0.00309428	4.29948	4.3	0.955306	65.7701	0	8.04514e-05	5.14755e-06	-0.00592566
5.60187e-05	6.39273e-10	6.39273e-10	0	0.00333231	4.29948	4.3	0.955306	65.7701	0	9.33045e-05	5.97067e-06	-0.00465117
6.002e-05	6.84976e-10	6.84976e-10	0	0.00357033	4.29948	4.3	0.955306	65.7701	0	0.00010711	6.8549e-06	-0.00328228
6.40214e-05	7.30683e-10	7.30683e-10	0	0.00380835	4.29948	4.3	0.955306	65.7701	0	0.000121867	7.80025e-06	-0.00181899
6.80227e-05	7.76395e-10	7.76395e-10	0	0.00404637	4.29948	4.3	0.955306	65.7701	0	0.000137577	8.80675e-06	-0.0002613
7.2024e-05	8.22112e-10	8.22112e-10	0	0.00428439	4.29948	4.3	0.955306	65.7701	0	0.000154238	9.87443e-06	0.00139079
7.60254e-05	8.67834e-10	8.67834e-10	0	0.00452241	4.29948	4.3	0.955306	65.7701	0	0.000171852	1.10033e-05	0.00313726
8.00267e-05	9.13561e-10	9.13561e-10	0	0.00476044	4.29948	4.3	0.955306	65.7701	0	0.000190417	1.21934e-05	0.00497814
8.4028e-05	9.59293e-10	9.59293e-10	0	0.00499846	4.29948	4.3	0.955306	65.7701	0	0.000209935	1.34448e-05	0.0069134
8.80294e-05	1.00503e-09	1.00503e-09	0	0.00523648	4.29948	4.3	0.955306	65.7701	0	0.000230405	1.47574e-05	0.00894305
9.20307e-05	1.05078e-09	1.05078e-09	0	0.0054745	4.29948	4.3	0.955306	65.7701	0	0.000251827	1.61314e-05	0.0110671
9.6032e-05	1.09653e-09	1.09653e-09	0	0.00571252	4.29948	4.3	0.955306	65.7701	0	0.000274201	1.75667e-05	0.0132855
0.000100033	1.14229e-09	1.14229e-09	0	0.00595055	4.29948	4.3	0.955306	65.7701	0	0.000297527	1.90635e-05	0.0155983
0.000104035	1.18806e-09	1.18806e-09	0	0.00618857	4.29948	4.3	0.955306	65.7701	0	0.000321805	2.06217e-05	0.0180055
0.000108036	1.23383e-09	1.23383e-09	0	0.00642659	4.29948	4.3	0.955306	65.7701	0	0.000347036	2.22413e-05	0.0205071
0.000112037	1.27961e-09	1.27961e-09	0	0.00666461	4.29948	4.3	0.955306	65.7701	0	0.000373218	2.39225e-05	0.023103
0.000116039	1.3254e-09	1.3254e-09	0	0.00690263	4.29948	4.3	0.955306	65.7701	0	0.000400353	2.56653e-05	0.0257933
0.00012004	1.3712e-09	1.3712e-09	0	0.00714065	4.29948	4.3	0.955306	65.7701	0	0.000428439	2.74697e-05	0.028578
0.000124041	1.41701e-09	1.41701e-09	0	0.00737868	4.29948	4.3	0.955306	65.7701	0	0.000457478	2.93357e-05	0.0314571
0.000128043	1.46283e-09	1.46283e-09	0	0.0076167	4.29948	4.3	0.955306	65.7701	0	0.000487469	3.12635e-05	0.0344305
0.000132044	1.50866e-09	1.50866e-09	0	0.00785472	4.29948	4.3	0.955306	65.7701	0	0.000518411	3.3253e-05	0.0374982
0.000136045	1.55449e-09	1.55449e-09	0	0.00809274	4.29948	4.3	0.955306	65.7701	0	0.000550306	3.53043e-05	0.0406604
0.000140047	1.60034e-09	1.60034e-09	0	0.00833076	4.29948	4.3	0.955306	65.7701	0	0.000583153	3.74175e-05	0.0439169
0.000144048	1.6462e-09	1.6462e-09	0	0.00856879	4.29948	4.3	0.955306	65.7701	0	0.000616953	3.95926e-05	0.0472677
0.000148049	1.69206e-09	1.69206e-09	0	0.00880681	4.29948	4.3	0.955306	65.7701	0	0.000651704	4.18297e-05	0.0507129
0.000152051	1.73794e-09	1.73794e-09	0	0.00904483	4.29948	4.3	0.955306	65.7701	0	0.000687407	4.41288e-05	0.0542524
0.000156052	1.78383e-09	1.78383e-09	0	0.00928285	4.29948	4.3	0.955306	65.7701	0	0.000724062	4.649e-05	0.0578863
0.000160053	1.82974e-09	1.82974e-09	0	0.00952087	4.29948	4.3	0.955306	65.7701	0	0.00076167	4.89133e-05	0.0616145
0.000164055	1.87565e-09	1.87565e-09	0	0.00975889	4.29948	4.3	0.955306	65.7701	0	0.000800229	5.13989e-05	0.0654371
0.000168056	1.92158e-09	1.92158e-09	0	0.00999692	4.29948	4.3	0.955306	65.7701	0	0.000839741	5.39468e-05	0.069354
0.000172057	1.96751e-09	1.96751e-09	0	0.0102349	4.29948	4.3	0.955306	65.7701	0	0.000880205	5.6557e-05	0.0733652
